Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D10.0mm_P5.00mm_P7.50mm,2,1000U,
"C3, C4, C6, C8",1206,4,10U,
"C5, C7",0603,2,0.1U,
D1,0805,1,BLUE,
D2,0805,1,YELLOW,
"D3, D4",Diode_Bridge_Vishay_GBU,2,GBU4A,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02_Male,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02_Male,
"J3, J4, J5",JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,3,Conn_01x03_Male,
"R1, R2",0603,2,3.3K,
"R3, R6",0805,2,120R,
"R4, R5",0805,2,750R,
TR1,Transformer_Breve_TEZ-28x33,1,230V 2x9V 2.3VA,
U1,SOT-223-3_TabPin2,1,LM317_SOT-223,
U2,SOT-223-3_TabPin2,1,LM337_SOT223,
