Designator,Mid X,Mid Y,Rotation,Layer
C1,120.9,-93.15,90.0,top
C2,123.2,-92.55,90.0,top
C3,95.1,-116.05,90.0,top
C4,103.6875,-117.95,270.0,top
C5,82.3,-116.05,180.0,top
C6,89.8,-116.05,180.0,top
C7,90.9,-127.85,90.0,top
C8,79.612621,-122.75,0.0,top
CSn1,116.4,-123.65,90.0,top
Cc1,83.8,-80.65,0.0,top
Cf1,88.05,-94.45,0.0,top
Ci1,109.8,-87.6,270.0,top
Cin1,104.2,-82.410113,90.0,top
Cm1,94.3,-87.95,180.0,top
D1,108.8,-130.85,0.0,top
D2,121.98,-130.85,180.0,top
J1,129.3,-85.7,0.0,top
J2,116.05,-79.3,270.0,top
J3,122.9,-80.8,180.0,top
J4,127.8,-94.7,90.0,top
J5,99.2,-96.1,180.0,top
J6,127.8,-101.75,90.0,top
J7,111.86,-101.95,90.0,top
J8,127.0,-106.89,270.0,top
J9,127.0,-116.24,270.0,top
R1,122.0,-97.75,0.0,top
R2,108.9,-102.05,270.0,top
R3,94.5,-98.37,270.0,top
R4,112.7,-130.895,0.0,top
R5,118.025,-130.895,180.0,top
RB1,87.88,-86.25,180.0,top
RSn1,110.75,-108.95,180.0,top
Rf1,88.3,-108.53,90.0,top
Rf2,91.4,-108.53,90.0,top
Rin1,99.2,-90.03,90.0,top
Rmute1,77.72,-89.75,0.0,top
U2,122.0,-100.75,180.0,top
U3,85.135,-110.95,90.0,top
