Designator,Mid X,Mid Y,Rotation,Layer
C1,142.8,-93.0,270.0,top
C10,176.155113,-125.6,180.0,top
C11,152.050707,-125.13,90.0,top
C12,176.155113,-132.0,180.0,top
C2,151.755113,-91.0375,180.0,top
C3,176.155113,-91.0375,180.0,top
C4,176.155113,-97.81875,180.0,top
C5,152.085,-97.03,90.0,top
C6,176.155113,-104.6,180.0,top
C7,142.8,-100.4,270.0,top
C8,151.755113,-119.2,180.0,top
C9,176.155113,-119.2,180.0,top
CF1,155.3,-90.5,270.0,top
CF2,157.877616,-91.1,270.0,top
CF3,170.78151,-102.5375,270.0,top
CF4,168.48151,-101.9375,270.0,top
CF5,155.238808,-118.302624,270.0,top
CF6,157.877616,-118.902624,270.0,top
CF7,168.4,-129.702624,270.0,top
CF8,170.8,-130.3,270.0,top
D1,143.1,-84.36,180.0,top
J1,133.65,-94.7,90.0,top
J2,133.65,-104.1,90.0,top
J3,141.2,-111.4,0.0,top
J4,134.695165,-113.877039,270.0,top
J5,134.7,-121.5,270.0,top
J6,140.62,-132.4,90.0,top
R1,173.9,-84.6,270.0,top
R10,164.9,-105.5375,180.0,top
R11,173.3,-112.1,270.0,top
R12,161.216424,-117.5,0.0,top
R13,168.2,-120.202624,270.0,top
R14,170.4,-120.2,90.0,top
R15,161.216424,-119.832624,0.0,top
R16,149.57,-124.5,90.0,top
R17,168.2,-124.637624,90.0,top
R18,154.531414,-123.265124,270.0,top
R19,157.8,-133.502624,180.0,top
R2,161.3,-89.8,180.0,top
R20,164.8,-133.502624,0.0,top
R3,170.5,-92.7375,270.0,top
R4,168.3,-92.7375,90.0,top
R5,161.3,-92.1,180.0,top
R6,149.57,-96.4,90.0,top
R7,168.3,-97.1375,90.0,top
R8,154.6,-95.4375,270.0,top
R9,157.8,-105.5375,180.0,top
RA1,139.6,-84.4,180.0,top
RV1,166.25,-84.5375,0.0,top
RV2,166.35,-112.0,0.0,top
U1,157.6,-102.7375,90.0,top
U2,157.6,-130.565124,90.0,top
