Designator,Mid X,Mid Y,Rotation,Layer
C1,146.4,-48.8,0.0,top
C10,158.2,-56.6,0.0,top
C11,132.225,-58.822222,180.0,top
C12,136.5625,-58.822222,180.0,top
C13,123.1625,-59.692222,90.0,top
C14,124.9625,-59.922222,90.0,top
C15,132.225,-62.533334,180.0,top
C16,136.5625,-62.533334,180.0,top
C17,124.5,-65.4,180.0,top
C18,124.5,-67.9,180.0,top
C19,130.5,-66.9,270.0,top
C2,158.4,-48.5,180.0,top
C20,137.5,-66.9,270.0,top
C21,124.75,-71.95,270.0,top
C22,136.0,-71.9,180.0,top
C23,158.515712,-72.607123,0.0,top
C24,136.5,-74.1,180.0,top
C25,143.742856,-76.2,270.0,top
C26,147.785712,-76.2,270.0,top
C27,149.80714,-76.2,270.0,top
C28,153.85,-76.2,270.0,top
C29,156.0,-77.4,270.0,top
C3,132.225,-51.4,0.0,top
C30,158.1,-78.2,270.0,top
C31,125.2,-80.4,90.0,top
C32,144.5,-83.0,180.0,top
C33,125.2,-84.9,270.0,top
C34,158.0,-84.8,180.0,top
C35,153.7,-88.4,180.0,top
C4,136.5625,-51.4,0.0,top
C5,145.42857,-53.95,90.0,top
C6,148.85714,-53.95,90.0,top
C7,154.0,-53.9,90.0,top
C8,132.225,-55.111111,180.0,top
C9,136.5625,-55.111111,180.0,top
D1,134.675,-82.95,180.0,top
D2,134.675,-85.9,180.0,top
D3,134.675,-88.85,180.0,top
D4,134.675,-92.1,180.0,top
J1,124.05,-43.4,90.0,top
J10,153.0,-82.4,0.0,top
J11,142.6,-92.9,0.0,top
J12,125.5,-94.1,180.0,top
J13,160.5,-94.05,180.0,top
J2,130.575,-43.4,90.0,top
J3,160.6,-43.3,270.0,top
J4,139.65,-44.9,180.0,top
J5,116.95,-56.9,90.0,top
J6,166.0,-60.5,90.0,top
J7,118.0,-62.4,270.0,top
J8,166.0,-71.3,90.0,top
J9,167.1,-81.6,270.0,top
R1,161.9,-49.0125,270.0,top
R10,155.7,-53.9,270.0,top
R11,157.2,-53.9,270.0,top
R12,158.7,-53.9,270.0,top
R13,128.1,-55.133333,180.0,top
R14,128.1,-58.866666,180.0,top
R15,161.7,-59.5,0.0,top
R16,128.1,-62.6,180.0,top
R17,161.7,-61.71,0.0,top
R18,161.7,-63.92,0.0,top
R19,161.7,-66.13,0.0,top
R2,163.5,-49.0125,270.0,top
R20,161.7,-68.34,0.0,top
R21,161.7,-70.55,0.0,top
R22,139.7,-76.1,90.0,top
R23,141.721428,-76.1,90.0,top
R24,145.764284,-76.2,90.0,top
R25,151.828568,-76.2,90.0,top
R26,166.6,-76.9,0.0,top
R27,119.0,-78.4,0.0,top
R28,130.9,-82.9,0.0,top
R29,130.9,-85.9,0.0,top
R3,165.1,-49.0125,270.0,top
R30,141.8,-87.4875,270.0,top
R31,143.5,-87.5,270.0,top
R32,119.0,-88.9,0.0,top
R33,130.9,-88.9,0.0,top
R34,130.9,-92.1,0.0,top
R4,128.1,-51.4,0.0,top
R5,142.0,-53.95,270.0,top
R6,143.714285,-53.95,90.0,top
R7,147.142855,-53.95,90.0,top
R8,150.571425,-53.9,270.0,top
R9,152.28571,-53.9,270.0,top
U1,149.0,-64.8,270.0,top
U2,119.0,-73.65,180.0,top
U3,118.9,-84.15,180.0,top
X1,134.0,-66.9,0.0,top
